<narrator>「ダミーメッセージ」=
<narrator>「ココのさきの　テントのところに　ぜんしんみどりの|ボディスーツのひとを　みかけたよ」=
<narrator>「あなた　<blue>木ノ葉おんせん<black>に　いったことがある？|いったことないなら　いちどいってみるといいわよ<red>♪<black>」=
「うわさじゃ　なんでも　おんせんにはいると|なかまと　なかよくなれるらしい　っていうから」=
「でも　<blue>“入よくけん”<black>をもってないと|はいれないから　きをつけてね<red>♪<black>」=
<narrator>「木ノ葉おんせんは　はいるひとの　<blue>くみあわせ<black>によって|イベントがおこったり　するらしいのよ<red>♪<black>」=
「いろんなひとたちを　おんせんに|いれてみるといいわね<red>♪<black>」=
<narrator>「なかまになるひとの　<blue>“入よくけん”<black>は　なかまに|なったじてんで　すでにもってきてくれるのよ<red>♪<black>」=
「それいがいのひとは？　・・・うーん|<blue>くみてどうじょうの　<black>ほうしゅうで　もらえるかもね<red>♪<black>」=
<narrator>「おんせんのイベントは　すべてみたかしら？|ぜんぶで　<blue>５７個<black>　あるらしいわよ<red>♪<black>」=
「まだみてなかったら|がんばって　ぜんぶ　みてちょうだいね<red>♪<black>」=
<iruka>「任務（にんむ）　がんばってるか？|どうだ　<blue>木ノ葉おんせん<black>に　はいっていくか？」=
<guy>「とびだせ！　青春（せいしゅん）！！|そのために　テントをはって　修業ちゅうだ！」=
<guy>「任務のあいまにも　修業をかかさない・・・|これこそ　青春（せいしゅん）だ！！」=
<guy>「フッ・・・　ただ　たっているようにしか|みえないって！？　まだまだ　あまいな・・・」=
<guy>「じつは　３日も　たったままだ！　おまけに|つまさきでたってるとは　きづかなかっただろ」=
<narrator>うっ・・・<w48>|あせくささと　おとこくささが　いりまじって・・・=
<narrator>うっ・・・<w48>|くさったみかんが　はいっていた・・・=
<narrator>ハンモックだ！|ガイは　ここで　ねているのだろうか・・・=
<narrator><instant><blue>“げきじょうばん　ＮＡＲＵＴＯ一ナルト一|だいげきとつ！　まぼろしのちていいせきだってばよ”<black>=
<narrator><instant>２００５ねん　８がつ　６にち　こうかいよてい！！！！=
<narrator><instant>“イチャイチャパラダイス・ムービー”|大（だい）ヒット　上映中（じょうえいちゅう）！！=
<guy>「ネジ！|任務（にんむ）がんばっているか？」=
<neji>「ああ・・・・・・」=
<guy>「リーよ！|任務（にんむ）がんばっているか？」=
<lee>「もちろんです！　ガイ先生！！」=
<guy>「テンテン！|任務（にんむ）がんばっているか？」=
<tenten>「もちろんよ！」=
