<narrator>「ダミーメッセージ」=
<narrator>「ここは　<blue>火の国（ひのくに）|木ノ葉隠れの里（このはがくれのさと）<black>だっ！」=<narrator>This is the <blue>Village Hidden in the Leaves<black>.
「そこには　<blue>アンコさんがいて　<blue>つうしんたいせんや|ともだちと　<blue>アイテムこうかんを　することができるぞ」=There, you can talk to <blue>Anko<black> about <blue>Communication Battles<black> and <blue>Item Trading<black> with your friends.
<narrator>「くみてどうじょうに　<blue>“サバイバルくみて”があるって|しってるかい？」=<narrator>Did you know that you can also take part in <blue>Survival Kumite<black> at the Dojo?
「なんでも　どれだけかちぬいたか　きろくされるらしい|・・・とにかく　ためしてみるかちは　ありそうだね！」=You should try it and see how long you can survive!
<narrator>「クリアごになると　くみてどうじょうでは|<blue>あらたなたいせんチーム<black>が　しゅつげんするらしい」=<narrator>I heard that once you beat the game, <blue>new Kumite Battle Teams<black> are added!
「ほかにも　せんとうランクによって|しゅつげんするものも　あるってうわさだぜ！」=There’s also a rumor that you can unlock more depending on your Battle Rank.
「いちど　たいせんチームに　かったからといって|あまんじていては　いけないみたいだな！」=I guess you can’t get too cocky just because you’ve beaten a team once!
<narrator>「タズナさんと　いっしょに　波の国（なみのくに）から|木ノ葉のふっこうの　おてつだいにきたんだが」=<narrator>I came with Mr. Tazuna from the Land of Waves to help with rebuilding Leaf Village.
「このやしきは　でっかいやしきだなぁ・・・|だれが　すんでるんだろう・・・」=But still, this house sure is enormous...|I wonder who lives in it...
<narrator>「このやしきは　木ノ葉のめいもん|“日向（ひゅうが）いちぞく”のものらしい」=<narrator>Apparently this house belongs to the Hyuga clan...
「いったい　どんなひとが|なかで　くらしているんだろう・・・？」=I wonder what kind of people they are...?
<narrator>「このやしきにすんでいる　日向（ひゅうが）いちぞくは|そうけと　ぶんけの　あらそいがあったらしい」=<narrator>I heard there was a fight between the Hyuga’s Branch House and Main House...
「・・・でも　いまでは　なかなおりをして|なかよく　くらしているらしい・・・」=But now they've reconciled and are living together in peace...
<narrator>「このまえ　日向（ひゅうが）いちぞくの　ヒアシさまが|ネジさんの　けいこをつけているのを　みかけたよ」=<narrator>The other day I saw Lord Hiashi of the Hyuga clan training Neji.
「そばで　けいこをみてらした　ヒナタさまも|あいらしかったな・・・」=Hinata was also there watching them.
<narrator>「おとうさんたちのために　波の国（なみのくに）から|おべんとうを　とどけにきたんだけど・・・」=<narrator>I came from the <blue>Land of Waves<black> to bring lunch for everyone.
「おとうさんたちは　どこにいるのかしら？？」=But I can’t find my father anywhere...
<narrator>「やっと　おとうさんたちを　みつけて|おべんとうを　とどけることが　できたわ！」=<narrator>I finally managed to find everyone and give them their lunches!
「せっかく　木ノ葉隠れの里まできたんだし|おんせんにでも　つかってから　かえろうかしら？」=But while I’m here, I’m thinking of trying the Hot Springs before heading back~
<narrator>「任務で　おおきなキズを　おってしまって|なかなか　かえってくることが　できなかったの=<narrator>I got seriously injured on a mission and couldn't come home...
「キミたちが　このこのせわをしてくれたんだってね？|どうも　ありがとう！」=I heard that you took care of my dog for me? Thank you so much!
「おれいといっては　なんだけど・・・|キミたちに　プレゼントするわ！」=As thanks, I’d like to give you this!
<narrator><1300>ふつのみたまを　てにいれた！=<narrator>Obtained <1300>Departed Soul of Futsu!
「たいせつに　つかってね！」=Keep it safe, okay?
<narrator>「任務で　おおきなキズを　おってしまって|なかなか　かえってくることが　できなかったの」=<narrator>I got seriously injured on a mission and couldn't come home...
「わたしがいないあいだ　このこの　めんどうを|みてくれて　ありがとう！」=Thanks for looking after my dog while I was gone!
「いま　こうして　このこといられるのは|キミたちの　おかげよ！」=It’s thanks to you thank we can be together now!
<shikamaru>「じゃあな・・・　きィつけて　かえれよ」=<shikamaru>We'll see you again someday, yeah?#dupe in dj_000s
<kankuro>「ああ・・・」=<kankuro>Yeah, you bet.
<gaara>「・・・・・・」=<gaara>...
<temari>「また　なにかあったら　たすけてやる・・・|そんときはいいな　・・・なきむしくん！」=<temari>Just give us a call when you need to be saved again, Crybaby!
<shikamaru>「ひとことおおいぜ・・・|これだから　おんなってやつは・・・」=<shikamaru>That was uncalled for.|This is why girls are...
<naruto>「<blue>ぜんたいマップ<black>なんて　いってるばあいじゃ|ないってばよ！」=<naruto>This is no time to be going to the World Map!
<naruto>「<blue>里のひがしのほう<black>なんて　いってるばあいじゃ|ないってばよ！」=<naruto>This is no time to be going to the east side of the village!
<naruto>「<blue>忍者学校（アカデミー）<black>なんて|いってるばあいじゃ　ないってばよ！」=<naruto>This is no time to be going to the Ninja Academy!
<naruto>「<blue>ぶき・ぼうぐや<black>なんて|いってるばあいじゃ　ないってばよ！」=<naruto>This is no time to be going shopping!
<naruto>「<blue>どうぐや<black>なんて|いってるばあいじゃ　ないってばよ！」=<naruto>This is no time to be going shopping!
<naruto>「こんなとこ　いってるばあいじゃ|ないってばよ！」=<naruto>I don't have time for this!
<naruto>「こんなとこ　いってるばあいじゃ|ないってばよ！」=<naruto>I don't have time for this!
<naruto>「<blue>あまぐりあま<black>なんて|いってるばあいじゃ　ないってばよ！」=<naruto>This is no time to be eating chestnuts!
<naruto>「<blue>ラーメン一楽（いちらく）<black>なんて|いってるばあいじゃ　ないってばよ！」=<naruto>I hate to say it, but this is no time to be eating ramen!
<naruto>「<blue>あほ茶（ちゃ）<black>なんて|いってるばあいじゃ　ないってばよ！」=<naruto>This is no time to be drinking tea!
<naruto>「<blue>木ノ葉茶（このはちゃ）<black>なんて|いってるばあいじゃ　ないってばよ！」=<naruto>This is no time to be drinking tea!
<naruto>「<blue>やまなか花（はな）<black>なんて|いってるばあいじゃ　ないってばよ！」=<naruto>This is no time to be smelling flowers!
<naruto>「ダミーメッセージ」=
<naruto>「こんなとこ　いってるばあいじゃ|ないってばよ！」=<naruto>I don't have time for this!
<neji>「フン・・・　ぶざまだな・・・|あわてて　・・・なにがあった？」=<neji>Hmph... How unsightly... What are you rushing around for?
<guy>「キミたち　せいしゅんしてるかー！|この　アツき　あせをみよ！」=<guy>Are you guys channelling the power of youth? Just watch me sweat!
<ino>「な～んだ・・・　ナルトじゃない|サスケくんは？」=<ino>Oh, it’s you, Naruto...|Where’s Sasuke?
<ibiki>「忍者学校（アカデミー）の　上忍ひかえしつで|<blue>くみてどうじょう<black>を　かいさいしているぞ！」=<ibiki>You should come visit the <blue>Kumite Dojo<black> in the Ninja Academy some time!
<ibiki>「いちど　のぞきにくるといい・・・|いつでも　さんかしゃを　ぼしゅうしているぞ」=<ibiki>We’re always open to participants.
<choji>「モグモグモグ・・・　うーん　やっぱり|あまぐりあまの　あまぐりはおいしいね」=<choji>*Munch...* The Chestnuts from the Chestnut Shop are so good.
<choji>「ナルトにも　おすそわけするね」=<choji>You should have some too, Naruto!
<narrator><130b>あまぐりを　てにいれた！<sound04>=<narrator>Obtained <130b>Sweet Chestnuts!<sound04>
<choji>「あじわって　たべてね・・・|モグモグモグ・・・」=<choji>Make sure to savor every bite!|*Munch, munch, munch...*
<lee>「ナルトくんじゃないですか！　こんな|とこで　おあいできるなんて！」=<lee>Well, if it isn’t Naruto!|It’s great to see you.
<lee>「そうだ！　ナルトくんに|いいものをあげます！！」=<lee>I know! Why don’t you take these?
<narrator><130b>ひょうろうがんを　２個てにいれた！<sound04>=<narrator>Obtained 2<130b>Food Pills!<sound04>
<lee>「たいせつに　つかってください！」=<lee>Use them well!
<tenten>「ったく！　リーもネジも　ガイ先生も|いったい　どこにいったのかしら？」=<tenten>Ugh! Where have Lee, Neji and Guy-sensei all disappeared off to?
<anko>「<blue>“とうぎじょう”<black>では　<blue>つうしんたいせん<black>や|<blue>アイテムこうかん<black>を　することが　できるわよ」=<anko>At the <blue>Main Arena<black> you can take part in <blue>Communication Battles<black> and <blue>Item Trading<black>.
<anko>「とうぎじょうには　かならず　わたしがいるから|はなしかけて　ちょうだい！」=<anko>I’m normally hanging around there, so come and visit any time!
<asuma>「あー・・・　チョウジみなかったか？」=<asuma>Ah... Have you seen Choji anywhere?
<narrator>「ほんとうのたたかいは　これからだっ！|つうしんたいせんや　くみてをやりこんで」=<narrator>The real fight starts now! You can take part in Communication Battles or#section of hints from the gate guard
「よりつよいてきに　いどめっ！！|なかま・アイテムを　あつめろっ！」=Kumite and challenge even stronger foes! Gather more items and comrades!
<narrator>「大蛇丸（オロチまる）を　みつけだして|サスケをとりもどせっ！」=<narrator>Find Orochimaru and bring Sasuke back!
<narrator>「大蛇丸（オロチまる）のかくれがに　のりこんで|サスケをとりもどせっ！」=<narrator>Sneak into Orochimaru's Hideout and bring Sasuke back!
<narrator>「サスケを　おいかけろ！　あらたなマップが|オープンしているかも　しれないぞっ！」=<narrator>Go after Sasuke! Check your map for new locations!
<narrator>「サスケを　おいかけろ！　あらたなマップが|オープンしているかも　しれないぞっ！」=<narrator>Go after Sasuke! Check your map for new locations!
<narrator>「のこりの左近（サコン）を　みつけだして|サスケを　とりもどせっ！」=<narrator>Find Sakon and bring Sasuke back!
<narrator>「ナルトたちを　みつけだして　たすけろっ！」=<narrator>Find Naruto and the others and help them!
<narrator>「さきにいった　多由也（タユヤ）と左近（サコン）に|おいつけっ！！」=<narrator>Go after Tayuya and Sakon!!
<narrator>「サスケをおいかけるために|よりこっきょうにちかづけっ！」=<narrator>Head to the border to chase after Sasuke!
<narrator>「サスケをとりもどすために|火の国（ひのくに）こっきょうへ　むかえっ！」=<narrator>You need to go to the Land of Fire Border in order to get Sasuke back!
<narrator>「じかんがないので　木ノ葉隠れの里に|もどれっ！」=<narrator>There’s no time, go back to Leaf Village!
<narrator>「リーをさがそう！　キバのはなしだと|演習場（えんしゅうじょう）に　いるらしいぞっ！」=<narrator>Find Lee! According to Kiba, he’s at the Training Ground!
<narrator>「キバをさがせっ！|木ノ葉隠れの里のなかにいるかも・・・？」=<narrator>Find Kiba! He’s probably somewhere in Leaf Village...?
<narrator>「チョウジをさがせっ！|たべものがあるところに　いるかも・・・？」=<narrator>Find Choji! He’s probably somewhere where there’s food...
<narrator>「ナルトをさがせっ！|ナルトのいえに　いるかも・・・？」=<narrator>Find Naruto! He might be in his house...?
<narrator>「いえから　でよう！」=<narrator>Get out there!#qc
<narrator>「木ノ葉隠れの里の　こうえんにいる|サクラに　あいにいけっ！」=<narrator>Go see Sakura who’s at the Hidden Leaf Village Park!
<narrator>「木ノ葉隠れの里の　こうえんにいる|サクラに　あいにいけっ！」=<narrator>Go see Sakura who’s at the Hidden Leaf Village Park!
<narrator>「サスケについていって　木ノ葉びょういんの|おくじょうにいけっ！」=<narrator>Follow Sasuke to the roof of Hidden Leaf Hospital!
<narrator>「サスケについていって　木ノ葉びょういんの|おくじょうにいけっ！」=<narrator>Follow Sasuke to the roof of Hidden Leaf Hospital!
<narrator>「サスケのおみまいにいこう！|サスケは　木ノ葉びょういんに　いるはずだっ！」=<narrator>Go and check on Sasuke! He should be in the Hidden Leaf Hospital.
<narrator>「ナルトをさがせっ！　ナルトといえば|やっぱり　ラーメン一楽（いちらく）？」=<narrator>Find Naruto! I’ll bet he’s at Ichiraku Ramen!
<narrator>「幻術（げんじゅつ）を　かけたひとをみつけだして|幻術をとけっ！！=<narrator>Find the person who cast the Genjutsu and remove it!
<narrator>「いちど　木ノ葉隠れの里にもどれっ！」=<narrator>Head back to Hidden Leaf Village!
<narrator>「短冊街の　百楽（ひゃくらく）のまえにいる|綱手さまに　はなしかけろっ！」=<narrator>Talk to Tsunade in Tanzaku Town!
<narrator>「さらに　おくにすすんで|綱手（ツナデ）さまを　さがせっ！！」=<narrator>Keep going and track down Tsunade!
<narrator>「綱手さまと大蛇丸の　まちあわせばしょの　火の国|かいどうの　せきひへいって　こうしょうをとめろっ！」=<narrator>Go to the Land of Fire Plains where Tsunade and Orochimaru plan to meet|and stop the deal!
<narrator>「綱手さまと大蛇丸の　まちあわせばしょの　火の国|かいどうの　せきひへいって　こうしょうをとめろっ！」=<narrator>Go to the Land of Fire Plains where Tsunade and Orochimaru plan to meet|and stop the deal!
<narrator>「じゅんびが　ととのったら　シズネさんに|はなしかけて　きょうは　もう　ねよう！！」=<narrator>When you're ready, talk to Shizune and head to bed for today.
<narrator>「火の国かいどうに　いる|自来也（じらいや）さまに　あいにいけっ！！」=<narrator>Meet Jiraiya at the Land of Fire Plains!
<narrator>「短冊街（たんざくがい）で　やどやをさがして|チェックインすべしっ！」=<narrator>Find an inn in Tanzaku Town and check in!
<narrator>「こころのじゅんびが　できたら|綱手さまに　はなしかけろっ！」=<narrator>When you’re ready, talk to Tsunade!
<narrator>「短冊街（たんざくがい）の　百楽（ひゃくらく）を|さがしにいけっ！」=<narrator>Find the restaurant in Tanzaku Town!
<narrator>「自来也さまからもらった　“綱手のしゃしん”を|短冊街のひとにみせて　綱手さまを　さがしだせっ！」=<narrator>Show the residents of Tanzaku Town the photo from Jiraiya and locate Tsunade!
<narrator>「自来也さまを　おって　火の国かいどうをぬけて|短冊街（たんざくがい）を　めざせっ！」=<narrator>Exit the Land of Fire Plains and head for Tanzaku Town to track down Jiraiya!
<narrator>「きたのひとうを　さらに　おくにすすんで|自来也さまを　さがしだせっ！」=<narrator>Head for the Northern Hot Springs and find Jiraiya!
<narrator>「木ノ葉きんざんを　ぬけて|きたのひとうを　めざせっ！」=<narrator>Go through the Hidden Leaf Mine and head for the Northern Hot Springs!
<narrator>「きたのひとうにいる　自来也さまをさがせっ！」=<narrator>Find Jiraiya in the Northern Hot Springs!
<narrator>「きたのひとうへは　火の国かいどうをとおって|木ノ葉きんざんを　ぬけると　たどりつけるぞっ！」=<narrator>You can reach the Northern Hot Springs by going through the Land of Fire Plains and Hidden Leaf Mine.
