<130b>イチャイチャライセンス|だれかに　プレゼントすると・・・=<130b>Make-Out License|A great gift for someone.
<130b>リストバンド|だれかに　プレゼントすると・・・=<130b>Wristbands|A great gift for someone.
<130b>バラのはなたば|だれかに　プレゼントすると・・・=<130b>Bouquet of Roses|A great gift for someone.
<130b>てかがみ|だれかに　プレゼントすると・・・=<130b>Hand Mirror|A great gift for someone.
<130b>てぬぐい|だれかに　プレゼントすると・・・=<130b>Washcloth|A great gift for someone.
<130b>おかしのつめあわせ|だれかに　プレゼントすると・・・=<130b>Assorted Candy|A great gift for someone.
<130b>ほね|だれかに　プレゼントすると・・・=<130b>Bone|A great gift for someone.
<130b>むしかご|だれかに　プレゼントすると・・・=<130b>Insect Cage|A great gift for someone.
<130b>ぶきだいぜんしゅう|だれかに　プレゼントすると・・・=<130b>Weapon Encyclopedia|A great gift for someone.
<130b>ハッピー　ゴーグル|だれかに　プレゼントすると・・・=<130b>Goggles|A great gift for someone.
<130b>サングラス|だれかに　プレゼントすると・・・=<130b>Sunglasses|A great gift for someone.
<130b>ガイのブロマイド|だれかに　プレゼントすると・・・=<130b>Guy Bromide|A great gift for someone.
<130b>あんぶのおめんストラップ|だれかに　プレゼントすると・・・=<130b>Anbu Mask Charm|A great gift for someone.
<130b>ガマちゃんサイフ|だれかに　プレゼントすると・・・=<130b>Froggy Wallet|A great gift for someone.
<130b>ガマきちハッピ|だれかに　プレゼントすると・・・=<130b>Gamakichi's Jacket|A great gift for someone.
<130b>ガマたつのオヤツぶくろ|だれかに　プレゼントすると・・・=<130b>Gamatatsu Snack Bag|A great gift for someone.
<130b>トントンのしんじゅ|だれかに　プレゼントすると・・・=<130b>Tonton's Pearls|A great gift for someone.
<130b>パックンキーホルダー|だれかに　プレゼントすると・・・=<130b>Pakkun Keyring|A great gift for someone.
<130e>わりびきけん|全しょうひん　１わりびき！=<130e>Coupon|10% off everything!
<130b>かくれみの|しばらく　てきと　そうぐうしない=<130b>Magic Cloak|Allows you to avoid enemies for a while.
しばらく　てきと　そうぐうしなくなった！=You won't encounter enemies!
<130b>しのびぶえ|てきを　よびよせる=<130b>Ninja Whistle|Calls for enemies.
<130c>ろうやのかぎ|ろうやを　あけるのに　ひつような　かぎ=<130c>Cell Key|Opens prison cells.
<130e>かいふうふだ・りん|とざされた　とびらを　ひらくことができる　おふだ=<130e>Seal Release Tag: Rin|Opens sealed doors.
<130e>かいふうふだ・ひょう|とざされた　とびらを　ひらくことができる　おふだ=<130e>Seal Release Tag: Hyo|Opens sealed doors.
<130e>かいふうふだ・とう|とざされた　とびらを　ひらくことができる　おふだ=<130e>Seal Release Tag: Tou|Opens sealed doors.
<130d>ちぎれたまきもの１|なにかの　ヒントが　かかれている=<130d>Ripped Scroll 1|Includes a hint for something.
<130d>ちぎれたまきもの２|なにかの　ヒントが　かかれている=<130d>Ripped Scroll 2|Includes a hint for something.
<130d>ちぎれたまきもの３|なにかの　ヒントが　かかれている=<130d>Ripped Scroll 3|Includes a hint for something.
<130d>ちぎれたまきもの４|なにかの　ヒントが　かかれている=<130d>Ripped Scroll 4|Includes a hint for something.
<130d>ちぎれたまきもの５|なにかの　ヒントが　かかれている=<130d>Ripped Scroll 5|Includes a hint for something.
<130d>ひじゅつのまきもの|四代目がのこした　ひじゅつが　しるされている=<130d>Secret Jutsu Scroll|Describes the Fourth Hokage’s Rasengan.
ナルトは　<blue>きゅうきょくらせんがん<black>　をおぼえた！！=Naruto learned <blue>Ultimate Rasengan<black>!
<130d>きんじゅつのまきもの|きけんな　きんじゅつが　しるされた　まきもの=<130d>Forbidden Jutsu Scroll|Describes a dangerous forbidden jutsu.
サスケは　<blue>あんこくちどり<black>　をおぼえた！！=Sasuke learned <blue>Dark Chidori<black>!
<130d>パックンくちよせまきもの|カカシが　あいようしている　まきもの=<130d>Summon Pakkun Scroll|Frequently used by Kakashi.
ナルトは　<blue>口よせ・パックン<black>　をおぼえた！！=Naruto learned <blue>Summon: Pakkun<black>!
<130e>サスケのおもいで|サスケの　おもいでが　つまった　しゃしん=<130e>Sasuke's Memories|A photo filled with Sasuke's memories.
サスケが　メンバーに　くわわった！！=Sasuke has re-joined your party!#is now playable!
<130e>ガアラのにんしきふだ|ガアラの　データが　しるされた　忍しきふだ=<130e>Gaara's Ninja Tag|Contains information about Gaara.
ガアラが　メンバーに　くわわった！！=Gaara has re-joined your party!
<130e>テマリのにんしきふだ|テマリの　データが　しるされた　忍しきふだ=<130e>Temari's Ninja Tag|Contains information about Temari.
テマリが　メンバーに　くわわった！！=Temari has re-joined your party!
<130e>カンクロウのにんしきふだ|カンクロウの　データが　しるされた　忍しきふだ=<130e>Kankuro's Ninja Tag|Contains information about Kankuro.
カンクロウが　メンバーに　くわわった！！=Kankuro has re-joined your party!
<130e>じらいやのにんしきふだ|じらいやの　データが　しるされた　忍しきふだ=<130e>Jiraiya's Ninja Tag|Contains information about Jiraiya.
じらいやが　メンバーに　くわわった！！=Jiraiya has joined your party!
<130e>ツナデのにんしきふだ|ツナデの　データが　しるされた　忍しきふだ=<130e>Tsunade's Ninja Tag|Contains information about Tsunade.
ツナデが　メンバーに　くわわった！！=Tsunade has joined your party!
<130e>オロチまるのにんしきふだ|オロチまるの　データが　しるされた　忍しきふだ=<130e>Orochimaru's Ninja Tag|Contains information about Orochimaru.
オロチまるが　メンバーに　くわわった！！=Orochimaru has joined your party!
<130e>カカシのにんしきふだ|カカシの　データが　しるされた　忍しきふだ=<130e>Kakashi's Ninja Tag|Contains information about Kakashi.
カカシが　メンバーにくわわった！！=Kakashi has joined your party!
<130e>いののにんしきふだ|いのの　データが　しるされた　忍しきふだ=<130e>Ino's Ninja Tag|Contains information about Ino.
いのが　メンバーに　くわわった！！=Ino has joined your party!
<130e>シノのにんしきふだ|シノの　データが　しるされた　忍しきふだ=<130e>Shino's Ninja Tag|Contains information about Shino.
シノが　メンバーに　くわわった！！=Shino has joined your party!
<130e>ヒナタのにんしきふだ|ヒナタの　データが　しるされた　忍しきふだ=<130e>Hinata's Ninja Tag|Contains information about Hinata.
ヒナタが　メンバーに　くわわった！！=Hinata has joined your party!
<130e>テンテンのにんしきふだ|テンテンの　データが　しるされた　忍しきふだ=<130e>Tenten's Ninja Tag|Contains information about Tenten.
テンテンが　メンバーに　くわわった！！=Tenten has joined your party!
<130e>イタチのにんしきふだ|イタチの　データが　しるされた　忍しきふだ=<130e>Itachi's Ninja Tag|Contains information about Itachi.
イタチが　メンバーに　くわわった！！=Itachi has joined your party!
<130c>ツナデのしゃしん|わかいころの　ツナデが　うつっている=<130c>Tsunade's Photo|A photo of Tsunade in her youth.
<130c>ツナデのくびかざり|しょだい火影が　もっていた　くびかざり=<130c>Tsunade's Necklace|A necklace owned by the First Hokage.
<130c>ナルトのにゅうよくけん|ナルトが　おんせんに　にゅうよくできます=<130c>Naruto's Bath Ticket|Naruto can visit the Hot Springs.
<130c>サスケのにゅうよくけん|サスケが　おんせんに　にゅうよくできます=<130c>Sasuke's Bath Ticket|Sasuke can visit the Hot Springs.
<130c>サクラのにゅうよくけん|サクラが　おんせんに　にゅうよくできます=<130c>Sakura's Bath Ticket|Sakura can visit the Hot Springs.
<130c>シカマルのにゅうよくけん|シカマルが　おんせんに　にゅうよくできます=<130c>Shikamaru's Bath Ticket|Shikamaru can visit the Hot Springs.
<130c>チョウジのにゅうよくけん|チョウジが　おんせんに　にゅうよくできます=<130c>Choji's Bath Ticket|Choji can visit the Hot Springs.
<130c>キバのにゅうよくけん|キバが　おんせんに　にゅうよくできます=<130c>Kiba's Bath Ticket|Kiba can visit the Hot Springs.
<130c>ネジのにゅうよくけん|ネジが　おんせんに　にゅうよくできます=<130c>Neji's Bath Ticket|Neji can visit the Hot Springs.
<130c>リーのにゅうよくけん|リーが　おんせんに　にゅうよくできます=<130c>Lee's Bath Ticket|Lee can visit the Hot Springs.
<130c>ガアラのにゅうよくけん|ガアラが　おんせんに　にゅうよくできます=<130c>Gaara's Bath Ticket|Gaara can visit the Hot Springs.
<130c>テマリのにゅうよくけん|テマリが　おんせんに　にゅうよくできます=<130c>Temari's Bath Ticket|Temari can visit the Hot Springs.
<130c>カンクロウのにゅうよくけん|カンクロウが　おんせんに　にゅうよくできます=<130c>Kankuro's Bath Ticket|Kankuro can visit the Hot Springs.
<130c>じらいやのにゅうよくけん|じらいやが　おんせんに　にゅうよくできます=<130c>Jiraiya's Bath Ticket|Jiraiya can visit the Hot Springs.
<130c>ツナデのにゅうよくけん|ツナデが　おんせんに　にゅうよくできます=<130c>Tsunade's Bath Ticket|Tsunade can visit the Hot Springs.
<130c>オロチまるのにゅうよくけん|オロチまるが　おんせんに　にゅうよくできます=<130c>Orochimaru's Bath Ticket|Orochimaru can visit the Hot Springs.
<130c>カカシのにゅうよくけん|カカシが　おんせんに　にゅうよくできます=<130c>Kakashi's Bath Ticket|Kakashi can visit the Hot Springs.
<130c>いののにゅうよくけん|いのが　おんせんに　にゅうよくできます=<130c>Ino's Bath Ticket|Ino can visit the Hot Springs.
<130c>シノのにゅうよくけん|シノが　おんせんに　にゅうよくできます=<130c>Shino's Bath Ticket|Shino can visit the Hot Springs.
<130c>ヒナタのにゅうよくけん|ヒナタが　おんせんに　にゅうよくできます=<130c>Hinata's Bath Ticket|Hinata can visit the Hot Springs.
<130c>テンテンのにゅうよくけん|テンテンが　おんせんに　にゅうよくできます=<130c>Tenten's Bath Ticket|Tenten can visit the Hot Springs.
<130c>イタチのにゅうよくけん|イタチが　おんせんに　にゅうよくできます=<130c>Itachi's Bath Ticket|Itachi can visit the Hot Springs.
<130c>ガイのにゅうよくけん|ガイが　おんせんに　にゅうよくできます=<130c>Guy's Bath Ticket|Guy can visit the Hot Springs.
<130c>アスマのにゅうよくけん|アスマが　おんせんに　にゅうよくできます=<130c>Asuma's Bath Ticket|Asuma can visit the Hot Springs.
<130c>シズネのにゅうよくけん|シズネが　おんせんに　にゅうよくできます=<130c>Shizune's Bath Ticket|Shizune can visit the Hot Springs.
<130c>くれないのにゅうよくけん|くれないが　おんせんに　にゅうよくできます=<130c>Kurenai's Bath Ticket|Kurenai can visit the Hot Springs.
<130c>イルカのにゅうよくけん|イルカが　おんせんに　にゅうよくできます=<130c>Iruka's Bath Ticket|Iruka can visit the Hot Springs.
<130c>このはまるのにゅうよくけん|このはまるが　おんせんに　にゅうよくできます=<130c>Konohamaru's Bath Ticket|Konohamaru can visit the Hot Springs.
<130c>エビスのにゅうよくけん|エビスが　おんせんに　にゅうよくできます=<130c>Ebisu's Bath Ticket|Ebisu can visit the Hot Springs.
<130c>アンコのにゅうよくけん|アンコが　おんせんに　にゅうよくできます=<130c>Anko's Bath Ticket|Anko can visit the Hot Springs.
<130c>ブンたのにゅうよくけん|ブンたが　おんせんに　にゅうよくできます=<130c>Gamabunta's Bath Ticket|Gamabunta can visit the Hot Springs.
<130c>マンダのにゅうよくけん|マンダが　おんせんに　にゅうよくできます=<130c>Manda's Bath Ticket|Manda can visit the Hot Springs.
<130c>カツユのにゅうよくけん|カツユが　おんせんに　にゅうよくできます=<130c>Katsuyu's Bath Ticket|Katsuyu can visit the Hot Springs.
<130c>あかまるのにゅうよくけん|赤丸が　おんせんに　にゅうよくできます=<130c>Akamaru's Bath Ticket|Akamaru can visit the Hot Springs.
<130c>トントンのにゅうよくけん|トントンが　おんせんに　にゅうよくできます=<130c>Tonton's Bath Ticket|Tonton can visit the Hot Springs.
<130c>パックンのにゅうよくけん|パックンが　おんせんに　にゅうよくできます=<130c>Pakkun's Bath Ticket|Pakkun can visit the Hot Springs.
<130c>ガマきちのにゅうよくけん|ガマ吉が　おんせんに　にゅうよくできます=<130c>Gamakichi's Bath Ticket|Gamakichi can visit the Hot Springs.
<130c>ガマたつのにゅうよくけん|ガマ竜が　おんせんに　にゅうよくできます=<130c>Gamatatsu's Bath Ticket|Gamatatsu can visit the Hot Springs.
<130c>このはひとう１００せん|かくれスポットが　まんさいの　ガイドブック=<130c>100 Must-See Hot Springs|Guidebook full of hidden spots.
<130c>しのびばな・ハナシノブ|はなことば　（きみをまつ　きてください）=<130c>Ninja Flower: Valeriana|Signifies “longing”.
<130c>このはひでんにんじゅつずかん|べんきょうねっしんな　忍があいようする　ずかん=<130c>Secret Ninjutsu Scroll|A guide favored by studious Ninjas.
<130c>さんにんのちょうせんじょう|でんせつのさんにん　からの　ちょうせんじょう=<130c>Sannin's Challenge|A challenge from the Legendary Sannin.
くみての　たいせんあいてが　ついかされた！！=New Kumite Battle Team added!
<130c>うちはのきろく|うちはいちぞくに　つたわる　きろくぶんしょ=<130c>Memory of the Uchiha|A record passed down for generations.
<130d>かとん１のこうか|かとんのまきもの用　ないぶてきなアイテム=<130d>Fire Style Scroll 1|CPU use item.
<130d>かとん２のこうか|かとんのまきもの用　ないぶてきなアイテム=<130d>Fire Style Scroll 2|CPU use item.
<130d>かとん３のこうか|かとんのまきもの用　ないぶてきなアイテム=<130d>Fire Style Scroll 3|CPU use item.
<130d>すいとん１のこうか|すいとんのまきもの用　ないぶてきなアイテム=<130d>Water Style Scroll 1|CPU use item.
<130d>すいとん２のこうか|すいとんのまきもの用　ないぶてきなアイテム=<130d>Water Style Scroll 2|CPU use item.
<130d>すいとん３のこうか|すいとんのまきもの用　ないぶてきなアイテム=<130d>Water Style Scroll 3|CPU use item.
<130d>らいとん１のこうか|らいとんのまきもの用　ないぶてきなアイテム=<130d>Lightning Style Scroll 1|CPU use item.
<130d>らいとん２のこうか|らいとんのまきもの用　ないぶてきなアイテム=<130d>Lightning Style Scroll 2|CPU use item.
<130d>らいとん３のこうか|らいとんのまきもの用　ないぶてきなアイテム=<130d>Lightning Style Scroll 3|CPU use item.
<130d>ふうとん１のこうか|ふうとんのまきもの用　ないぶてきなアイテム=<130d>Wind Style Scroll 1|CPU use item.
<130d>ふうとん２のこうか|ふうとんのまきもの用　ないぶてきなアイテム=<130d>Wind Style Scroll 2|CPU use item.
<130d>ふうとん３のこうか|ふうとんのまきもの用　ないぶてきなアイテム=<130d>Wind Style Scroll 3|CPU use item.
<1300>ぼくとう|こうげき力＋６　前えい　けずりだしたぼう=<1300>Hexagonal Stick|ATK +6 FR A sharpened stick 
<1300>こだち|こうげき力＋１２　前えい　ごしんようのぶき=<1300>Small Sword|ATK +12 FR A weapon for protection
<1300>しのびがたな|こうげき力＋１４　前えい　かたばのちょく刀=<1300>Ninja Sword|ATK +14 FR A straight sword
<1300>サクラふぶき|こうげき力＋３３　前えい　きゅうしょをねらいやすい刀=<1300>Cherry Blossom Storm|ATK +33 FR May 1-shot an enemy
<1300>ひめつるいちもんじ|こうげき力＋５０　前えい　つばのない刀=<1300>Himetsuru Swift Sword|ATK +50 FR Sword with no guard
<1300>えんげつとう|こうげき力＋５４　前えい　みかづきの刃をつけた大刀=<1300>Round Moon Sword|ATK +54 FR A big, crescent blade
<1300>むらまさ|こうげき力＋８２　前えい　ようとうとよばれる刀=<1300>Muramasa|ATK +82 FR Known as the demon sword
<1300>わとう|こうげき力＋９４　前えい　がい国でかいりょうされた刀=<1300>Samurai Sword|ATK +94 FR Modified foreign sword
<1300>さんにんのしのびがたな|こうげき力＋１１０　前えい　三忍あいようの忍刀=<1300>Sannin's Ninja Sword|ATK +110 FR A Sannin ninja sword
<1300>ムラサメ|こうげき力＋１１５　前えい　ふれば　つゆがまう=<1300>Murasame|ATK +115 FR Pretty as morning dew
<1300>あまのはばおり|こうげき力＋１１６　前えい　オロチをたいじした刀=<1300>Dragon Slayer|ATK +116 FR A serpent hunter
<1300>ふつのみたま|こうげき力＋１２０　前えい　でんせつのにんぐ=<1300>Departed Soul of Futsu|ATK +120 FR Legendary ninja item
<1300>ほかげのしのびがたな|こうげき力＋１２５　前えい　三代目あいようの刀=<1300>Hokage Ninja Sword|ATK +125 FR 3rd Hokage's Blade
<1300>らいじんのけん|こうげき力＋１３０　前えい　二代目あいようの刀=<1300>Raijin Sword|ATK +130 FR 2nd Hokage's blade
<1300>ガマのドス|こうげき力＋１４０　前えい　ガマブン太あいようのドス=<1300>Toad Blade|ATK +140 FR Gamabunta's blade
<1300>よんだいめのしのびがたな|こうげき力＋１３５　前えい　四代目あいようの刀=<1300>4th Hokage's Sword|ATK +135 FR 4th Hokage's blade
<1301>せんす|こうげき力＋８　前後　後えいで全体にこうげきかのう=<1301>Fan|ATK +8 BK Can Attack all enemies
<1301>てっせん|こうげき力＋１６　前後　後えいで全体にこうげきかのう=<1301>Battle Fan|ATK +16 BK Can Attack all enemies
<1301>にんぷうせん|こうげき力＋２６　前後　後えいで全体にこうげきかのう=<1301>Ninja Wind Fan|ATK +26 BK Can Attack all enemies
<1301>てんせん|こうげき力＋３６　前後　ぼさつがつかうきょだいな扇=<1301>Heaven Fan|ATK +36 BK A large fan bodhisattavas use
<1301>きょうてんせん|こうげき力＋５２　前後　きょだいでゆうびな扇=<1301>Super Heaven Fan|ATK +82 BK A large and graceful fan
<1301>りゅうりんせん|こうげき力＋６５　前後　けものにこうかぜつ大=<1301>Dragon Fan|ATK +65 BK Severe damage to beasts
<1301>さんにんのせんす|こうげき力＋８０　前後　三忍あいようのせんす=<1301>Sannin's Fan|ATK +80 BK Sannin's favorite fan
<1301>ふうじんのせんす|こうげき力＋１１５　前後　砂の国のひほう=<1301>Fujin Fan|ATK +115 BK Treasure of the Sand
<1302>アラレだま|こうげき力＋６　後えい　てつのつぶて=<1302>Arare Pellets|ATK +6 BK Steel Pellets
<1302>ぼうしゅりけん|こうげき力＋９　後えい　ぼうのような手裏剣=<1302>Rod Shuriken|ATK +9 BK A rod-like shuriken
<1302>しゅりけん|こうげき力＋１９　後えい　忍者のひょうじゅんそうび=<1302>Shuriken|ATK +19 BK Standard weapon for ninja
<1302>ろっぽうしゅりけん|こうげき力＋３６　後えい　刃のかずが６つの手裏剣=<1302>Six-Edged Shuriken|ATK +36 BK A shuriken with 6 blades
<1302>はっぽうしゅりけん|こうげき力＋４０　後えい　刃のかずが８つの手裏剣=<1302>Eight-Edged Shuriken|ATK +40 BK A shuriken with 8 blades
<1302>さんにんのしゅりけん|こうげき力＋４５　後えい　三忍あいようの手裏剣=<1302>Sannin's Shuriken|ATK +45 BK Sannin's favorite shuriken
<1302>りゅうりんしゅりけん|こうげき力＋７５　後えい　けものにこうかぜつ大=<1302>Dragon Shuriken|ATK +75 BK Great versus beasts
<1302>はちみつしゅりけん|こうげき力＋８０　後えい　８つの力をもった手裏剣=<1302>Hakko Shuriken|ATK +80 BK Has 8 different powers
<1302>ほかげのしゅりけん|こうげき力＋８５　後えい　三代目あいようの手裏剣=<1302>Hokage Shuriken|ATK +85 BK 3rd Hokage's weapon
<1303>うちこみまるカン|こうげき力＋７　前後　だいくこうぐの１つ=<1303>Steel Ring|ATK +7 FR A construction tool
<1303>クナイ|こうげき力＋２５　前後　つかいがってのよいぶき=<1303>Kunai|ATK +25 FR A handy weapon
<1303>りょうばクナイ|こうげき力＋３８　前後　つかの反対がわにも刃がある=<1303>Double-Edged Kunai|ATK +38 FR A knife with two blades
<1303>ダブルブレード|こうげき力＋４５　前後　はくらいせいのクナイ=<1303>Double Blade|ATK +45 FR Imported kunai knife
<1303>さんにんのクナイ|こうげき力＋８５　前後　三忍あいようのクナイ=<1303>Sannin's Kunai Knife|ATK +85 FR Sannin favorite kunai
<1303>ほかげのクナイ|こうげき力＋９５　前後　三代目あいようのクナイ=<1303>Hokage Knife|ATK +95 FR 3rd Hokage's kunai
<1304>ごすんくぎ|こうげき力＋１　後えい　おおきなくぎ=<1304>Large Nail|ATK +1 BK A large nail
<1304>せんぼん|こうげき力＋３　後えい　いりょうきぐにもつかわれる=<1304>Senbon|ATK +3 BK Also used as a medicinal tool
<1304>はねばり|こうげき力＋１０　後えい　針に羽をつけたもの=<1304>Winged Nail|ATK +10 BK Poison needle w/ wings
<1304>さんにんのせんぼん|こうげき力＋３８　後えい　三忍あいようの千本=<1304>Sannin's Senbon|ATK +38 BK Sannin's favorite senbon
<1304>ほかげのせんぼん|こうげき力＋５０　後えい　三代目あいようの千本=<1304>Hokage Senbon|ATK +50 BG 3rd Hokage's senbon 
<1305>アイアンナックル|こうげき力＋１７　前えい　てつのナックル=<1305>Iron Knuckle|ATK +17 FR Iron knuckles
<1305>かぎづめ|こうげき力＋３７　前えい　かぎ爪じょうのてっこう=<1305>Hooked Claw|ATK +37 FR Hooked claw manifer
<1305>たかのつめ|こうげき力＋５０　前えい　するどいかぎ爪のてっこう=<1305>Falcon Claw|ATK +50 FR Sharp hooked manifer
<1305>とらのつめ|こうげき力＋６７　前えい　けものにこうかぜつ大=<1305>Tiger Claw|ATK +67 FR Great versus beasts
<1305>さんにんのつめ|こうげき力＋８５　前えい　三忍あいようのかぎ爪=<1305>Sannin's Claw|ATK +85 FR Sannin's favorite hooked claw
<1305>りゅうのつめ|こうげき力＋９０　前えい　りゅうの爪でできたてっこう=<1305>Dragon Claw|ATK +90 FR Dragon claw manifer
