チームめい　フォーメーション！いのシカチョウ|いやしい　口わるい　めんどくさがり　こせいはチーム！=
サスケ　げんていくみて　　　　ＶＳ　ナルト|すべては兄をたおすため！　したしきともとのたたかい！=
シノ　げんていくみて　　　　　ＶＳ　カンクロウ|木ノ葉くずしの　さいげん！　シノＶＳカンクロウ！=
ヒナタ　げんていくみて　　　　ＶＳ　ネジ|日向のさいを　うけつぐネジに　ヒナタがいどむ！=
カカシ　げんていくみて　　　　ＶＳ　オロチまる|せいちょうした　カカシ！　大蛇丸を　たおせるか！？=
いの　げんていくみて　　　　　ＶＳ　サクラ|サクラにだけは　まけない！　ライバルたいけつ！=
テンテン　げんていくみて　　　ＶＳ　ネジ・リー|あんき　ＶＳ　２つのたいじゅつ！！=
じらいや　げんていくみて　　　ＶＳ　オロチまる|あくにそまった　大蛇丸を　自来也がうつ！！=
ツナデ　げんていくみて　　　　ＶＳ　オロチまる|火影として　木ノ葉をねらう　大蛇丸との　いっきうち！=
オロチまる　げんていくみて　　ＶＳ　キミマロ|もとめていた　体！　かぐやいちぞくの　じつりょくは！？=
イタチ　げんていくみて　　　　ＶＳ　サスケ|もっとにくめ！　こえられぬ兄として・・・=
サスケ　げんていくみて　　　　ＶＳ　オロチまる|サスケが　もとめる　チカラ！　大蛇丸のじつりょく！=
サクラ　げんていくみて　　　　ＶＳ　ツナデ|かいりきを　ほこる　綱手に　サクラがちょうせん！！=
