<jiraiya>「デヘヘヘヘ・・・」=
<naruto>「また　のぞきなんか　してるってばよ！」=
<symbol36><small_sakura><instant>（オンナのてき！　しゃーんなろー！！）=
<naruto>「おい　エロ仙人！|エロ仙人ってばさぁ！！」=
<naruto>「おっしゃあ！　<blue>短冊街<black>にいくってばよ！！」=
<narrator>「ダミーメッセージ」=
<narrator>「ダミーメッセージ」=
<narrator>「ダミーメッセージ」=
<narrator>「ダミーメッセージ」=
<naruto>「はっくしょん！！|もう　がまんできないってばよ！」=
<sasuke>「げんかいか・・・」=
<shikamaru>「さみー・・・　もうげんかいだ」=
<gaara>「げんかいか・・・」=
<naruto>「ハァ～・・・　だいぶ　カラダが|あったまったってばよ！」=
<sasuke>「だいぶ　カラダが　あたたまったな」=
<shikamaru>「だいぶ　カラダが　あったまったみてーだな」=
<gaara>「だいぶ　あたたまったな・・・」=
