<narrator>「なんだ　きさまらは・・・　どこの国のもんだ？|つうこうしょうは？」=
<naruto>（なンだよ！　さっきまで　“ししょう”だの|“でし”だの　いってたくせによォ<w5>・<w5>・<w5>・）=
<naruto>「こんの　エロ仙人！！」=
<kiba>「あ？　シノ？　シノはいま　オヤジさんと|とくべつ任務で　里にはいねーぜ」=
<shikamaru>「！」=
<naruto>「オ・・・　オイ　まさか・・・！？」=
<shikamaru>「ハイ・・・　けってい」=
<naruto>「うがぁあああああ！！！！」=
<kiba>「アア！？　いったい　なんなんだよ|おめーら」=
<naruto>「つれてくなら　ぜってーシノだってばよ！！」=
<kiba>「あーもう！　ナルト　おまえはだまってろ|シカマル！　ようじはなんだ！？」=
<shikamaru>「サスケが　里をぬけた・・・|いまから　やつをつれもどす」=
<shikamaru>「すぐ　したくして　<blue>正面入口（しょうめん|いりぐち）<black>にしゅうごうしてくれ」=
<kiba>「・・・・・・なるほどな|おもしろそうじゃねーの・・・」=
<naruto>「シノがいねーなら　ゲジマユ！|ゲジマユを　さそうってばよ！！」=
<shikamaru>「ロック・リーか・・・」=
<kiba>「あいつなら　赤丸とさんぽに　いったときに|<blue>演習場（えんしゅうじょう）<black>で　みたぜ！」=
「な！　赤丸！！」=
<akamaru>「ワンワン！」=
<shikamaru>「よし！　<blue>演習場（えんしゅうじょう）<black>にいくぞ」=
<sakura>「やっと　<blue>木ノ葉隠れの里（このは|がくれのさと）<black>まで　もどってきたわね」=
<naruto>「おーし！　はやいとこ　任務のほうこくに|いって・・・」=
<naruto>「一楽（いちらく）で|ラーメンたべるってばよ！」=
<narrator>ぐるるるるる・・・・・・=
<sakura>「ナルト？　アンタ　どうかしたの？|はやいとこ　依頼受付所にいくわよ」=
<naruto>「え・・・　<w32>あ・・・　<w32>うん・・・」=
<naruto>（だっ・・・　<w32>ダメだってばよ・・・<w32>|も・・・<w32>　もれそう）=
<narrator><instant><blue>１ぷんいないに　ナルトのいえまで　たどりつけ！！<black=
><narrator><blue><instant>カウントダウン　<w32><instant>かいし！！！！<black>=
<naruto>「はわっ！！！！」=
<naruto>「も・・・　う・・・|げんかい　だってばよォ・・・」=
<sasuke>「コ・・・　コイツ・・・」=
<sakura>「うげっ！　ナルト・・・　アンタ！」=
<naruto>「・・・・・・」=
<naruto>「・・・・・・」=
<naruto>「あはーー・・・|しあわせだってばよ～～！！」=
<shikamaru>「じゃあな・・・　きィつけて　かえれよ」=
<kankuro>「ああ・・・」=
<gaara>「・・・・・・」=
<temari>「また　なにかあったら　たすけてやる・・・|そんときはいいな　・・・なきむしくん！」=
<shikamaru>「ひとことおおいぜ・・・|これだから　おんなってやつは・・・」=
