<naruto><14006A>「サスケェ！！」<w37>=SASUKE!!!<w37>
<naruto>「オレから　にげんのか！！」=Are you gonna run off again!?
<symbol35><small_sasuke>「よう　ウスラトンカチ　<w5>・<w5>・<w5>・<w5>それに|なんだ　ゾロゾロと・・・」=So it's you...<w21>hopeless little knucklehead
「そんなところに　みすみすおまえを|いかせられっか！！」=And you STILL want to drag yourself over to him?
<symbol35><small_sasuke>「オレのもくてきが　たっせいさえすれば|そんなことは　どうでもいい　じゃますんな」=None of that matters now. I only care about achieving my goal
<naruto>「これいじょう　いうこと　きかねーってんなら|おまえを　ちからずくで　つれもどす！！」=If you really think that...then I'll have to take you back by force!
<symbol35><small_sasuke>「ククク・・・　なら　もういちどやるか？|木ノ葉病院では　じゃまが　はいったからな」=(chuckle)...You wanna try? With no one to stop us like last time
<naruto>「あんなの　オレの　やりたかった|たたかいじゃねェ　<w21>・・・いまだって」=
<symbol35><small_sasuke>「フン・・・<w16>　てめェの　つごうなんか|しるかよ」=
<naruto>「ちったぁ　めがさめたかよ！　サスケェ！！」=
<symbol3A><small_sasuke>「ああ<w5>・<w5>・<w5>・<w21>　めなら　とっくにさめてる」=
<symbol3A><small_sasuke>「なかまとつるんで　へいわボケした　おまえら|とのみらいを　ゆめみる　バカなオレからな」=
「だから　里をでた！|だから　チカラをもとめた！」=
<symbol3A><small_sasuke>（うちはイタチ<w5>・<w5>・<w5>・）=
<symbol3A><small_sasuke>（アンタを　たおすためなら　このさきが|どんな<blue>やみ<black>だろうと　オレはつきすすんでやる）=
<symbol3A><small_sasuke>（どんな　ほうほうで　あっても|チカラを　てにいれてやる！！）=
<naruto>「もう　オレってば・・・　おまえにとって|なかまでも　なんでも　ねーのかよ！？」=
<naruto>「オレたち　第７班で　やってきたことは|ぜんぶ　なんのいみも　なかったのかよォ！！」=
<symbol3A><small_sasuke>「いや<w5>・<w5>・<w5>・<w21>　いみがない　わけではない|オレにとって　おまえは　もっとも・・・」=
<symbol3B><small_sasuke><sound45>「<blue>したしいともに　なった<w5>・<w5>・<w5>・<black>」=
<naruto>「だったら　なんで！」=
<symbol3B><small_sasuke>「だからこそだ・・・<w16>　だからこそ|おまえをたおす　イミがある」=
<symbol3B><small_sasuke>「だから・・・|オレは　おまえを　たおす！！」=
<shikamaru>（ヤバイ・・・　サスケのやつ　ホンキだ！！）=
<naruto><140080>「オレだって　おまえ　ボッコボコにして|ひきずってでも　つれかえる！！」=
<shikamaru>「オレらも　いくぞ！」=
<symbol3B><small_sasuke>（あの　おちこぼれがぁ<w5>・<w5>・<w5>・<w21>　このオレが|ここまで　おいつめられるとはな）=
<naruto>（<blue>“もっともしたしい　ともになった”<black>|サスケは　オレにむかって　そういった）=
<naruto>（だから　たたかって　たしかめたかった<w16>|・<w5>・<w5>・<w21>もう　まちがいねーじゃ　ねーか）=
<naruto>（サスケは　ホンキで・・・<w16>　ホンキで|オレを　ころそうとしてる）=
<naruto>（中忍（ちゅうにん）しけんのとき・・・|サスケ・・・！　おまえが）=
<naruto>（“オレも　おまえと　たたかいたい”　そう|いってくれたとき　ホントに　うれしかった）=
<naruto>（おまえが　オレのことを　みとめてくれた|はじめての　ことばだったから・・・）=
<naruto>（でも　おまえも　オレも　わかってたんだ|あんときから　くちにはださねーけど）=
<naruto>（オレたちは　<blue>ともだち<black>なんだ　ってことは！）=
<naruto>（・・けど　おまえは　ホンキで|オレをころそうと　している・・・）=
<naruto>（けっきょく　ともだちだとおもってたのは|オレのほうだけかも　しんねェ<w5>・<w5>・<w5>・）=
<naruto>（でも　しょーがねーだろ・・・　なんでか|わかんねーけど　オレは　おまえを）=
<naruto>（大蛇丸なんかに　とられたくねーん|だってばよ<w5>・<w5>・<w5>・）=
<symbol33><small_naruto>「うぉおおおおおおお！！」=
<symbol33><small_naruto>「サスケ！　おまえは　大蛇丸なんかにゃ|やらねーってばよ！」=
<symbol3B><small_sasuke>「おまえは　いったい　なんなんだ・・・？」=
<symbol33><small_naruto>「<blue>“ともだち”<black>だ」=
<symbol33><small_naruto>「だから　おまえを　大蛇丸なんかにゃ|やらねーっていってんだ！」=
<symbol33><small_naruto>「・・・だから　おまえの　てあし　おってでも|ちからずくで　とめる！！」=
<symbol33><small_naruto>「いいかげんに　めがさめたかよ！」=
「まだ　さめねってんなら　ほんとうに|バキバキにして　つれてくぞ！！」=
<symbol3B><small_sasuke>「クク・・・<w16>　ククク<w5>・<w5>・<w5>・<w21>|るっせえんだよ・・・」=
<symbol33><small_naruto>「・・・？」=
<symbol3B><small_sasuke><symbol3B><small_sasuke>「おやも　きょうだいも　いねえてめーに|はじめから　ひとりっきりだった　てめーに」=
<symbol3B><small_sasuke>「オレのなにが　わかるんだってんだ！|アア！？」=
<symbol3B><small_sasuke>「“つながり”があるからこそ　くるしいんだ！|それを　うしなうことが　どんなもんか」=
<symbol3B><small_sasuke>「おまえなんかに　わかるわけねーだろーが！|・<w5>・<w5>・<w5>なのに<w21>　なんでだ・・・」=
<symbol3B><small_sasuke>「なんで　そこまでして　オレに<w5>・<w5>・<w5>・」=
<symbol33><small_naruto>「<blue>オレにとっちゃ・・・　やっとできた|“つながり”なんだ<black>」=
<symbol33><small_naruto>「・・・だから　オレは　|おまえを　とめるんだってばよ！」=
<symbol34><small_sasuke>「こい　ナルト・・・　だったら|<blue>そのつながりを　オレは　たちきるまでだ！<black>」=
<symbol33><small_naruto>「たちきる・・・　<w16>か・・・　<w16>だったら|なんで　いまさら　額あてなんか・・・」=
<symbol34><small_sasuke>「<blue>みとめてやるよ・・・　<w16>おまえはつよい<black>」=
<symbol34><small_sasuke>「いまからは　たいとうに　たたかってやる|だが・・・　おまえは　オレのひたいに」=
<symbol34><small_sasuke>「キズひとつ　つけることすら　できやしない|<w21>・・・そのことに　かわりは　ないがな」=
<symbol33><small_naruto>「もう・・・　なにいっても　ムダみてーだな|サスケェ・・・」=
<symbol34><small_sasuke>「おしゃべりは　もう　おわりだ・・・|ここからは　そう・・・　<w21>ただ　たたかいだ」=
<symbol34><small_sasuke><140089>「こい」=
<symbol33><small_naruto>（いかせるわけには　いかねェんだ|サスケは　オレが・・・）=
<symbol32><small_sasuke>「呪印（じゅいん）・・・」=
<symbol3A><small_sasuke>「ナルト<w5>・<w5>・<w5>・<w21>　オレは<w5>・<w5>・<w5>・」=
<sakura>「ナルト！　ナルト！！|しっかりして！　ナルト！！」=
<shikamaru>「きをうしなってはいるが　いのちには|べつじょうなさそーだな・・・」=
<sakura>「なんで・・・　こんなことに|ナルト・・・　いっぱい　キズついてる」=
<lee>「サスケくんの千鳥と　ナルトくんの螺旋丸が|ぶつかったしょうげきで　ボクたちはとばされ」=
<choji>「もどってきてみたら　サスケはいないし|ナルトは　たおれてるし・・・」=
<symbol37><small_neji>「だめだ・・・　サスケのすがたは　白眼では|とらえられない　おそらく　サスケは・・・」=
<akamaru>「ワンワン・・・」=
<kiba>「まちがいねェ・・・|この額あては　サスケのだ」=
<shikamaru>「・・・・・・チィ」=
<sakura>「ナルト　ごめんね・・・<w16>|また　わたし　なんにもできなかった」=
<sakura>「アンタのことだから　いっしょうけんめい|がんばって　くれたんだよね」=
<shikamaru>「オヤジに　きいたことがある・・・|さっきは　きづかなかったが　やっぱそうだ」=
<choji>「なにが　そうなの？　シカマル」=
<shikamaru>「ここは　かつてふたりのおとこがあらそい|そのキズあとから　うまれたといわれている」=
<shikamaru>「このみずのながれは　えいえんに|とまることなく　ながれつづける・・・」=
<shikamaru>「まるで　おわらない　たたかいを|つづけているようにな<w5>・<w5>・<w5>・」=
<neji>「ひにくなものだな・・・」=
<naruto>「・・・オレは　まだ|あきらめちゃ　いねーぜ・・・」=
<sakura>「ナ・・・<w16>　ナルト！？　アンタ・・・」=
<naruto>「もんだいねー・・・　任務ぞっこうだ！！」=
<sakura>「ナルト！　アンタ　なにいってんのよ！|もうむりよ！　こんなに　キズついて・・・」=
<sakura>「このままじゃ　ナルトまで・・・！」=
<naruto>「だいじょーぶだってばよ　サクラちゃん！|オレは　じぶんのことばは　まげねェ・・・」=
<naruto>「<blue>サスケは　ぜってー　つれもどす！！<black>」=
<sakura>「ナルト・・・」=
<shikamaru>「こっからさきは　音だ・・・　ほぼ|まちがいなく　大蛇丸とたたかうことになるぜ」=
<naruto>「ヘッ！　そんなこと　かんけーねーってばよ！|オレは　じぶんの忍道を　つらぬくまでだ」=
<sakura>「わたしも　いくわ！　シカマルがとめても|サスケくんを　つれもどしにいく！！」=
<kiba>「オレも　いくぜ！　ナルトにばっか|おいしいとこ　もってかれてたまるかってーの」=
<choji>「ボクも・・・　このままじゃ　なにたべても|まんぞくすることなんて　できないよ」=
<lee>「ボクも　いきます！　ここでひきかえしては|ナウいおとことは　いえません！！」=
<neji>「シカマル・・・　めいれいをくだすのは|おまえだ　・・・どうする？」=
<shikamaru>「小隊長のたちばとしては　てきにさらわれた|ひとりより　隊のなかま　・・・つまり」=
<shikamaru>「ここにいる　９にんのいのちを　ゆうせんして|任務は　ちゅうしするのが　セオリーだ」=
<naruto>「・・・・・・」=
<shikamaru>「・・・が　よのなか　そうそう|セオリーどおりにゃ　いかねェもんさ」=
<shikamaru>「なんせ　さらわれた　なかまをみすてて|じぶんの　あんぜんのために」=
<shikamaru>「たたかうことを　やめちまうような　やつは|ここには　ひとりもいねェみたいだしな」=
<shikamaru>「ま・・・　オレも　ふくめてな」=
<naruto>「シカマル！　おまえ！！」=
<shikamaru>「これこそ　<blue>“木ノ葉りゅう”<black>　・・・だろ？」=
<neji>「フッ・・・　さっさと　サスケをおうぞ」=
<shikamaru>「・・・っと　そのまえに」=
<shikamaru>「おまえら　砂は　どーする？　こっからさきは|音だ　もちろん　いままでいじょうにキケンだ」=
<temari>「わたしらの任務は　あんたたちのサポートだ|おまえらが　いくとこには　ついていく」=
<temari>「あんまり　わたしたち砂を|なめんじゃないよ」=
<kankuro>「いままでより　おもしろそーじゃん・・・」=
<gaara>「・・・・・・」=
<shikamaru>「サスケは　大蛇丸のもとへ　むかったと|かんがえて　まちがいないだろう」=
<shikamaru>「・・・音隠れの里へ　はいるぞ！！」=
<naruto>「こんどこそ<w5>・<w5>・<w5>・<w21>|サスケを　とりもどす！！」=
<symbolFF><small_sasuke>「・・・・・・しってるか？」=
<symbolFF><small_naruto>「！」=
<symbolFF><small_sasuke>「ここは　<blue>終末の谷（しゅうまつのたに）<black>とよばれる」=
<symbolFF><small_sasuke>「火の国と　音隠れの　こっきょうだ」=
<symbolFF><small_sasuke>「ちょうどいい　ぶたいじゃねーか・・・」=
<symbolFF><small_naruto>「・・・・・・」=
<symbolFF><small_sasuke>「そろそろ　しまいにしようぜ　この　たたかいを」=
「これまでの　たたかいを・・・」=
<symbolFF><small_sasuke>「千鳥（ちどり）！！」=
<symbolFF><small_naruto>「螺旋丸（らせんがん）！！」=
<symbol33><small_naruto>「サスケェッッッ！！！」=
<symbol34><small_sasuke>「ナルトォッッッ！！！」=
