<symbol3a><small_sasuke>（オレ<w16>・<w16>・<w16>・<w16>　は　いったい|いままで　なにをしてきたんだ）=<symbol3a><small_sasuke>(What have I<w16>.<w16>.<w16>.been fighting for all this time?)
<temari>「そこで　おまえのなかまは|きけんに　さらされるかもしれない」=<temari>They'll still be in danger regardless.
<temari>「でも　そのとき　おまえが隊長だったら|なかまは　きけんにあわずにすむかもしれない」=<temari>But if they had you leading them, then they won't get in trouble.
<temari>「おまえらのいう　“なかま”とやらを|ほんとうに　たいせつにおもうのなら」=<temari>You Leaf people truly value your friendships and camaraderie.
<temari>「その“なかま”のために　おまえが　より|かしこくなることを　かんがえたらどうだ？」=<temari>How about you stay...for the sake of your teammates?
<shikamaru>「・<w5>・<w5>・<w5>・<w5>・<w5>・」=<shikamaru>.<w5>.<w5>.<w5>.<w5>.<w5>.
<tsunade>「シカマルに　・・・テマリ？<w16>　だったっけか|おまえたち　もう　きがついたのか？」=<tsunade>Shikamaru? Temari?<w16> Are you two okay?
<tsunade>「なんだい！？　ふたりして　シメっぽい|かおして<w5>・<w5>・<w5>・」=<tsunade>What's wrong!? What's with the long faces?
<shikamaru>「・<w5>・<w5>・<w5>・<w5>・<w5>・」=<shikamaru>.<w5>.<w5>.<w5>.<w5>.<w5>.
<temari>「・・・・・・フン」=<temari>...Hmph.
<tsunade>「おまえたちを　かいしゅうしにいった|カカシから　ほうこくはうけた」=<tsunade>I heard of what happened from Kakashi's report.
<shikamaru>「・<w5>・<w5>・<w5>・<w5>・<w5>・」=<shikamaru>.<w5>.<w5>.<w5>.<w5>.<w5>.
<tsunade>「・・・しかし　自来也から　きいたんだが|おまえたちは　やつの転生の術を」=<tsunade>...I also heard from Jiraiya about Orochimaru's Jutsu.
<tsunade>「３ねん　さきのばしにすることが　できた|かんぺきな　任務しっぱいではない」=<tsunade>He'll need three years before he can lay a finger on him, so your mission's not over yet.
<tsunade>「それに　ぜんいんいきてる<w21>|・・・それが　なによりだ」=<tsunade>Until then...<w21>you have time to report your results.
<shikamaru>「つぎこそは<w16>・<w16>・<w16>・|かんぺきに　こなしてみせます！」=<shikamaru>I won't disappoint you!
<narrator>「ダミーです」=
<narrator>「ダミーです」=
<naruto>「なっ・・・<w21>　なんだってばよォ！？」=<naruto>Wh-What was that!?
<naruto>「エロ仙人！？」=<naruto>Huh!? Pervy Sage?
<jiraiya>「“暁（あかつき）”が　３、４ねんさきに|おまえを　ねらってくるそうだ・・・」=<jiraiya>I heard the Akatsuki will come back to get you in three years...
<jiraiya>「おまえを　ワシの　せいしきな　でしとして|いちにんまえに　そだてる」=<jiraiya>I want you to come with me and train under me during that period.
<naruto>「ンなこたしるか！　オレってば　チンタラ|修業してるヒマなんて　ねーんだってばよ！」=<naruto>Like hell! I can't go around wasting my time training!
<naruto>「すぐにでも　サスケを　おわねーと！|サスケが　大蛇丸に！！」=<naruto>I still need to save Sasuke from Orochimaru!!
<jiraiya>「ワシは　大蛇丸の　不死の術を　しらべてのォ|１００パーセントあんしん　とはいえねーが」=<jiraiya>I did my research on Orochimaru's Jutsu, so you don't have to worry.
<jiraiya>「やつが　サスケのカラダを　“器（うつわ）”|にするまでには」=<jiraiya>Sasuke won't become Orochimaru's vessel anytime soon.
<jiraiya>「３ねんいじょうの　じかんがある」=<jiraiya>He'll need three years to be able to take over.
<naruto>「・<w16>・<w16>・<w16>なんで　そんなことが|いえるんだってばよ！」=<naruto>.<w16>.<w16>.why are you telling me this!?
<jiraiya>「おまえたちが　音の五人衆　そして　サスケと|たたかったことによって　サスケの」=<jiraiya>I'm sure you remember what that Fifth Sound Ninja told you about the Jutsu.
<jiraiya>「とうちゃくはおくれ　やつは　サスケではなく|べつのカラダに　たましいを　うつした」=<jiraiya>He can't use the Jutsu on Sasuke, so he'll have to use a weaker vessel for now.
<jiraiya>「やつの　“不死の術”は　３ねんいじょう|あいだをあけなければ　いけない」=<jiraiya>His immortality Jutsu will have to wait for now.
<jiraiya>「つまり　いますぐ　サスケがどうにかなる|というわけではない<w21>　・・・だいじょうぶだ」=<jiraiya>To make it simpler, <w21>we have three years till we have to worry to death about Sasuke's problem.
<naruto>「それ！　うそじゃ　ないよな！？|うそじゃ　ないよな！？」=<naruto>Is that true!? Are you for real!?
<jiraiya>「ああ・・・」=<jiraiya>Yes, it’s true.
<naruto>（ハァ・・・<w16>　とりあえずは|ひとあんしん　だってばよ）=<naruto>(...<w16>I can rest easy for the moment.)
<jiraiya>「ただな・・・|<w21>サスケのことは　もうわすれろ」=<jiraiya>However...<w21>I still think you're better off forgetting about Sasuke.
<jiraiya>「サスケは　じぶんからのぞんで　大蛇丸の|ところへいった・・・」=<jiraiya>He went to Orochimaru of his own accord.
<jiraiya>「おまえが　なにをしようと　あいつはかわらん|・・・サスケは　大蛇丸と　おなじタイプだ」=<jiraiya>No matter how much you try, you'll never be able to take him back. He and Orochimaru are cut from the same cloth.
<jiraiya>「あいつを　つれもどしてやるとか|おもってんなら　やめとけ・・・」=<jiraiya>So save your breath, and give up on ever trying to get him back...
<jiraiya>「そういうのは　おもいあがった|<blue>“バカ”<black>のすることだ」=<jiraiya>Only a <blue>fool <black> would believe in such a hopeless cause.
<jiraiya>（おまえを　ワシと　おなじみちを|あゆませたくないんだ・・・）=<jiraiya>(You don't deserve walking the path of pain I was on...)
<naruto>「エロ仙人には　なんでもねーかもしんねーけど|オレにとっては　あいつは　ともだちなんだよ」=<naruto>I don't know about you, Pervy Sage, but I know I need to save my friend.
<jiraiya>「サスケをおうなら　修業のはなしは　なしだ|木ノ葉からでることを　きんしする」=<jiraiya>If you really want to do that, then come and train with me. We'll travel out of the village.
<naruto>「なっ！？」=<naruto>Huh!?
<jiraiya>「おまえは　“九尾”をもっとる　・・・いずれ|“暁”のやつらを　あいてしなきゃならない」=<jiraiya>You have the Nine Tailed Fox inside you, so you have to be trained well enough to face against them when they come back.
<jiraiya>「おまえとサスケは　こうなる　うんめいだった|もう　くるしむな・・・<w32>わすれて　きりすてろ」=<jiraiya>The more you keep Sasuke in your mind, the more you'll hurt.
<jiraiya>「忍なら　ただしい　はんだんや　せんたくを|みぬくチカラを　きたえろ！」=<jiraiya>A ninja must see through deception and emotions!
<jiraiya>「忍は　術や　チカラだけじゃない・・・|忍としていきるなら　もっとかしこくなれ」=<jiraiya>A ninja isn't all about his Jutsu and his power...far from it! A ninja must be wise!
<jiraiya>「バカのままじゃ　このせかい|いきづらいのが　げんじつだ・・・」=<jiraiya>A fool can't survive in this world for long. That's the reality of things...
<naruto>「わかったよ<w16>・<w16>・<w16>・」=<naruto>I understand<w16>.<w16>.<w16>.
<naruto>「<blue>かしこいっていうのが　そういうことなら|オレは　いっしょう　バカでいい・・・<black>」=<naruto><blue>But I'd rather be a fool my whole life!<black>
<naruto>「ひとりでも　もっと　スゲー術　あみだして|サスケは　ぜってー　たすける！」=<naruto>I'll learn all the Jutsu I need to bring Sasuke back!
<naruto>「そんで　そんで|“暁（あかつき）”だって　ぶっとばす！」=<naruto>And if those Akatsuki wanna rear their heads in, they'll get a good beating too!!
<jiraiya>「・・・・・・おまえみたいなのが|ひとりで　修業しても」=<jiraiya>...You'll never be able to do this by yourself.
<jiraiya>「どうせくだらん　エロ忍術を|おもいつくのが　いいとこだのォ・・・」=<jiraiya>Well, it's a good thing you have a Perverted Sage willing to make something out of you.
<jiraiya>「バカは　バカでも　<blue>“おおバカ”<black>だったら|なんとかなるかもな」=<jiraiya>You're a fool, but I'll help you stay away from becoming a <blue>bigger fool<black>.
<jiraiya>「ケガがなおったら　かくごしとけのォ|<w5>・<w5>・<w5>・<w5>このおおバカもんが」=<jiraiya>Come to me the day you're ready to go...
<naruto>「オッス！！」=<naruto>OH YEAH!
<narrator>そうして　すうじつごの　あるひ<w16>・<w16>・<w16>・<w16>・<w16>・<w16>・<w16>・=<narrator>Six months later<w16>.<w16>.<w16>.<w16>.<w16>.<w16>.
