<tsunade>「オヤジィ！　ドンドンもってこい！！」=<tsunade>Hey Old Man! Keep the booze coming!!
<shizune>「綱手さま<w5>・<w5>・<w5>・<w5>　のみすぎです！」=<shizune>You have drunk a bit too much, Lady Tsunade...
<jiraiya>「そーら　ついたぞ！」=<jiraiya>Found ya!
<tsunade>「<w5>・<w5>・<w5>・<w5>なにしにきた」=<tsunade><w5>.<w5>.<w5>.<w5>What do you want?
<jiraiya>「つれないのォ<w5>・<w5>・<w5>・|にしても　やっぱり　ここにいたか」=<jiraiya>I just knew that out of all the places<w5>.<w5>.<w5>.<w5>you'd be here.
<tsunade>「猿飛（さるとび）先生もおなじよ」=<tsunade>You preach just like Sarutobi-sensei used to.
<tsunade>「としとった　ジジィが　いきがってりゃ|そりゃ　大蛇丸にやられるわ！」=<tsunade>That stubborn old fool threw his life away as well just to beat Orochimaru!
<jiraiya>「！！」=<jiraiya>!!!!
<tsunade>「火影なんて　クソよ|バカいがい　やりゃしないわ」=<tsunade>A Hokage is nothing short of a fool who's blinded by their dreams!
<naruto>「オレのまえで　じいちゃんや四代目を|バカにするようなやつ<w5>・<w5>・<w5>・」=<naruto>You dare call Gramps and the Fourth Hokage fools right in front of me?!
<naruto>「おんなだからって　かんけいねェ！|ちからいっぱい　ぶんなぐってやる！！」=<naruto>They are twice, no, thrice the Ninja you will ever be!!
<tsunade>「・<w5>・<w5>・<w5>・<w5>・<w5>・」=<tsunade>.<w5>.<w5>.<w5>.<w5>.<w5>.
<naruto>「・<w5>・<w5>・<w5>・<w5>・<w5>・」=<naruto>.<w5>.<w5>.<w5>.<w5>.<w5>.
<tsunade>「フン・・・<w16>　いいどきょうだね|このわたしに　むかって・・・」=<tsunade>Tch...<w16> You're so brave for blabbering these words to my face.
<tsunade>「ついてきな　<w16>・・・ガキ！<w21>|あいてして　やろうじゃないか！」=<tsunade>You know what?<w16> Come with me, brat! I feel like pummelling you!
<jiraiya>「<w5>・<w5>・<w5>・<w5>にしても　そのくびかざり|まだ　だいじに　もっとるとはのォ」=<jiraiya>.<w5>.<w5>.<w5>You still hold on to that necklace, I see.
<jiraiya>「あのふたりの　かたみなんだろ|それを　かけるとはな」=<jiraiya>You seriously bet on your only memory of those two.
<tsunade>「フン・・・・・・」=<tsunade>Tch...
<jiraiya>「きになるか・・・」=<jiraiya>You must be curious...
<tsunade>「なにがだ？」=<tsunade>What about?
<jiraiya>「・<w5>・<w5>・<w5>ナルトだよ」=<jiraiya>.<w5>.<w5>.<w5>About Naruto, of course.
<tsunade>「・<w5>・<w5>・<w5>・<w5>・<w5>・<w5>べつに」=<tsunade>.<w5>.<w5>.<w5>Not really.
<jiraiya>「それにしちゃあ　こどもあいてに|おとなげないのォ・・・」=<jiraiya>To think you actually picked a fight with him.
「あの術を　１にちで|マスターできるはずが　ないだろ」=And imposed this bet, to top it all off.
<tsunade>「チィ・・・」=<tsunade>Tch....
<jiraiya>「なに　ヤケになっておる」=<jiraiya>You've become this petty?
<tsunade>「べつに　なにも|ヤケになど　なってない！」=<tsunade>Oh what do YOU know!?
<jiraiya>「また　大蛇丸に　あうのか？」=<jiraiya>Are you thinking of seeing Orochimaru again?
<jiraiya>「やつが　どんな　とりひきを|もちかけてきたかは　しらんがのォ<w5>・<w5>・<w5>・」=<jiraiya>I don't know much about what's going on about that deal of his.<w5>.<w5>.
<jiraiya>「けつろんを　いそぐな！|それと　ひとことだけは　いっておく」=<jiraiya>Take my advice, and don't be reckless about this.
<jiraiya>「れきだいの　火影たちは　木ノ葉の里と|そこに　いきるものたちを　まもり」=<jiraiya>The village needs a Hokage to rule it and keep it safe.
<jiraiya>「らんせをおさめ　里をはんえいさせるという|そのりそう<w5>・<w5>・<w5>・」=<jiraiya>To keep away the Feudal rule and all dangers away<w5>.<w5>.<w5>.
<jiraiya>「<blue>ゆめに　いのちをかけた<black>」=<jiraiya><blue>They bet their dreams and lives to keep it safe.<black>
<jiraiya>「せんだいのきもちが　わからぬ|おまえでは　ないだろう」=<jiraiya>You might not realize or understand these ideals right now I know...
<jiraiya>「もし　その木ノ葉の里を|うらぎるような　マネをしてみろ」=<jiraiya>But if you ever do anything that will endanger this village...
<jiraiya>「そのときは　ワシが　おまえをたおすぞ」=<jiraiya>Then I won't hesitate to put you down.
<tsunade>「・<w5>・<w5>・<w5>わたしには|もう　かんけいないでしょ」=<tsunade>.<w5>.<w5>.<w5>I have nothing to do with that village anymore.
<jiraiya>「みぢかなものが　いなくなって|なにもかんじないのは　さつりくしゃだけだ」=<jiraiya>Only a cold-blooded killer feels nothing when the thing they care about is gone.
<jiraiya>「おまえは　ちがうだろ？」=<jiraiya>You’re not like that, are you?
<jiraiya>「おまえほど　里のものたちの　みを|あんじているやつは　いなかった」=<jiraiya>I know you used to care so much about the village, and I bet you still do.
<tsunade><instant>「そのくらいで　せっきょうはやめろ！」=<tsunade><instant>Oh shut your yapper!
<tsunade>「どうして　あんなガキを|わたしのまえに　つれてきた<w5>・<w5>・<w5>・」=<tsunade>Just why did you bring that kid along with you<w5>.<w5>.<w5>.?
<jiraiya>「にてるだろ？|としのころも　おなじくらいだよ<w5>・<w5>・<w5>・」=<jiraiya>Don’t you see it too? Just how frighteningly identical he is to him?
<tsunade>（それだけじゃない<w5>・<w5>・<w5>・<w32>|そのゆめも　なまいきなところも）=<tsunade>(It’s not just that<w5>.<w5>.<w5>.<w32> The way he talked about his dream, and desperately defended his ideals...)
<shizune>「・・・・・・綱手さまには|あいするかたが　ふたりおられました」=<shizune>...In her life, Lady Tsunade only truly loved two people.
<shizune>「綱手さまのおとうと　縄樹（なわき）さま|そして　わたしのおじの　ダンです」=<shizune>She loved her younger brother, Nawaki. As well as my uncle, Dan.
<shizune>「しかし　よのなかは　せんらんじだい<w5>・<w5>・<w5>・<w5>|おふたりとも　木ノ葉の忍として　任務につき」=<shizune>However they<w5>.<w5>.<w5>.passed away on a mission during the war periods.
<shizune>「木ノ葉の里を　まもるそんざいになる　という|こころざしなかばで　たおれました」=<shizune>They lost their lives trying to protect the Village Hidden in the Leaves.
<shizune>「綱手さまが　あの“くびかざり”を|たくした　つぎのひに<w5>・<w5>・<w5>・」=<shizune>Lady Tsunade entrusted this necklace to both of them and they<w5>.<w5>.<w5>.
<shizune>「おふたりとも　たおれたのです」=<shizune>Died wearing that same necklace.
<naruto>「綱手のバァちゃんが　きょうから|五代目火影に　なんのかぁ～～」=<naruto>Gramma Tsunade is the Fifth Hokage starting today...
<jiraiya>「なんだ　ふまんそうだのォ<w16>・・・　ナルト」=<jiraiya>Is something bothering you, Naruto?
<naruto>「だって　三代目のじぃちゃんと　くらべると|・・・なんだかなぁ」=<naruto>Compared to the old man, the Third Hokage...
<naruto>「きしょうが　あらくって　ワガママっぽくて|かねにルーズで　いんけんで　バカだし」=<naruto>She's rough-natured and kind of selfish... loose with money, catty and stupid...
<naruto>「なーんか　ちゃーんと　やっていけんのか|しんぱいに　なってくるってばよ」=<naruto>I’m not sure she's up to it.
<shizune>「あっ！？　あの　ツ・・・　綱手さま|なにか　ちゅうもんしましょうか？」=<shizune>U-Uh... Lady Tsunade, would you like to order something?
<naruto>「だいたい　５０さいのババァなのに|わかく変化（へんげ）　してんのがなぁ」=<naruto>And on top of that, a 50-year-old woman transforming into a young lady...
<naruto>「火影とも　あろうやつが|みんなに　ウソついてて　いいのかなぁ」=<naruto>Is it okay for the person who will become Hokage to lie to everyone, I wonder...?
<tsunade><instant>「おもてへ　でな！　ガキ！！」=<tsunade><instant>Go outside, brat!
<shizune>「あひィ～～！」=<shizune>Eeeek!
<jiraiya>（ハァ～・・・　なにやら　まえと|おなじような　てんかいだのォ・・・）=<jiraiya>(Sigh... It’s just like before...)
