<kiba>「ナルトじゃねーか！」=Well well well, if it isn't Naruto!
<naruto>「キバ！！」=Kiba!!
<naruto>「おめェ　こんなとこで|なにしてんだってばよ！」=What're you doing here!?
<kiba>「ヘッ！　おしえてくれって　たのんだって|おしえてやんねーからな」=Then I guess I would have wasted my time on a know-it-all like you, smartypants!
<kiba>「しりたくなったら　忍者学校の|<blue>２０１きょうしつ<black>にいって　きけよ！」=You can always review this over at <blue>Room 201<black>, so don't go crying to me if you forget!
<sakura>「そろそろ　しゅっぱつしましょう！」=Well anyways, it's time to head out!
<hinata>「ナルトくん・・・　わ・・・　わたしからも|ひとつ・・・　いいかな・・・」=Naruto...I have something to explain to you...is that okay?
<naruto>「・・・なんだ？　ヒナタ！」=What's up, Hinata?
<hinata>「<blue>“がったい忍術”<black>と　<blue>“がったいこうげき”<black>に|ついてなんだけど・・・　きいてくれるかな？」=Do you want me to explain to you what <blue>Combined Jutsus and Combined Attacks <black>are?
<naruto>「きく！　きくってばよ！」=You bet I do! Tell me more!
<hinata>「とくていのなかまが　とくていの|たちいちにいたり・・・」=In your party, you certainly have comrades that are more than just comrades to you...
<hinata>「とくていのなかまが　とくしゅなこうかの|じょうたいにあるとき・・・」=In certain circumstances...your friendship with them will have many positive effects on you in battle
<hinata>「きょうりょくな　“がったい忍術”を|つかうことが　できるばあいがあるの・・・」=That's when you two can perform combination jutsus together...
<hinata>「がったい忍術は　術をつかうふたりとも|チャクラをしょうひするから　きをつけて」=Using combined jutsus will only take up both of your chakras, however
<hinata>「それに　どちらかのチャクラがたらなかったり|どちらかが　術をふうじられてると」=Both users must have the required amount of chakra to perform the Jutsu!
<hinata>「がったい忍術は　つかうことが|できないから・・・」=So if one doesn't have enough chakra...it just won't work
<hinata>「あっ・・・　あと　“がったいこうげき”|っていうのが　あるんだけど」=I also have to tell you about combined attacks...
<hinata>「これは　なかまとの<blue>“あいしょう”<black>|つまり　なかよしどが　たかければ」=When you and your comrade have good <blue>Chemistry <black>together, you can attack one target at once!
<hinata>「てきに　あたえるダメージが|おおきくなるんだって・・・」=The target will receive more damage than what one attack would deal to them
<hinata>「こんな　かんじかな　・・・なんて」=I think that's...everything to say...
<naruto>「さんきゅー　ヒナタ！」=You rock, Hinata! Thank you so much!
<naruto>「わりーな　ヒナタ・・・|せつめいは　しなくていいってばよ」=I'm really sorry, Hinata...maybe you can tell me about it some other time?
<hinata>「あっ・・・　うん　そ・・・　そだね|も・・・　もし　またききたくなったら」=Oh...um....it's alright...if you want to learn more about it later...
<hinata>「忍者学校の　<blue>２０１きょうしつ<black>に|いって　きいてね・・・」=You can always come to <blue>Room 201 
<sasuke>「おい！　もう　いくぞ！！」=Hey what's the hold up! We gotta go now!
<naruto>「よーし　エロ仙人　とっつかまえてやる！」=Alright! Let's go catch that Pervy Sage!
<hinata>「ナ・・・　ナルトくん・・・」=N-Naruto I...
<hinata>「あの・・・　その　えっと・・・|任務がんばってね・・・」=I...wish you...the best of luck!
<naruto>「おう！！」=Believe it!
<narrator><instant>　きく|　きかない<0B>=<instant>Tell me!|Some other time?
<narrator><instant><1312>キバが　なかまになった！=<instant><1312>Kiba's tagging along on this one!
