<symbol3A><small_sasuke>「ぐあっ！！」=
<symbol3A><small_sasuke>（なんだ！？　このしょうげきは？）=
<symbol3A><small_sasuke>（まさか　ナルトの術が|オレのカラダに　かすったからなのか？）=
<sakon>「そうすりゃ　おまえは　もっと　すばらしい|チカラを　てにいれることが　できる」=
<sakon>「もくてきを　わすれるな！」=
<symbol3A><small_sasuke>「・<w5>・<w5>・<w5>・<w5>・<w5>・」=
<kiba>「めずらしーな　おまえが　オレと赤丸の|さんぽに　つきあうとはよ・・・」=
<kiba>「このあと　どーせ　紅先生んとこ|しゅうごうだろーが」=
<shino>「たまには　ゆっくりはなしあう<w5>・<w5>・<w5>・<w21>|これも　チームワークというものだ」=
<shino>「おまえたちの　任務が　どんなものだったか|きいておこう<w5>・<w5>・<w5>・」=
<kiba>「そりゃ　すごかったぜ！<w21>　・・・つっても|くちでいっても　わかんねーよな」=
<kiba>（・<w5>・<w5>・<w21>もう　あんなおもいは　したくねぇ）=
<kiba>（そのためにゃあ　もっともっと　術を|みがいて　つよくなんねーとな・・・）=
<shino>「いや<w5>・<w5>・<w5>・<w21>　ちゃんと　きいておこう」=
<shino>「なぜなら　それが|チームワークというものだからだ」=
<kiba>「・<w16>・<w16>・<w32>おまえ　任務からはずれたの|スネてんのか？」=
